image,github_repo,prompt
None,pydantic/pydantic,"Work in the existing repository. Inspect the codebase before editing.

A model_validator with mode='after' on a Pydantic BaseModel is being called again on an already-validated instance when that instance is passed as a field value to another model. The config option revalidate_instances='never' does not prevent this.

Reproduce the issue: create a model with an after-validator that increments a counter, instantiate it, then pass that same instance into a composing model. The validator fires twice.

Find where in the validation/construction path the already-validated instance is being re-validated. Implement a fix that respects the existing instance without re-running validators when revalidate_instances is set to 'never'. Add a test covering this exact composition pattern.

Do not change unrelated validation behavior. Keep backward compatibility."
None,litestar-org/litestar,"Work in the existing repository. Inspect the codebase before editing.

The `litestar run` CLI command does not pass environment variables to the uvicorn subprocess when running with a single worker and without --reload. Environment variables ARE passed when workers > 1 or when --reload is used, so this is an inconsistency in the single-worker non-reload path.

Look at the CLI command implementation in litestar/cli/commands/core.py around the uvicorn runner setup. Identify why env vars are dropped specifically in the single-worker non-reload case. The fix should ensure uvicorn always receives the parent process environment regardless of worker count or reload flag.

Add a test that verifies environment variables reach the uvicorn process in all three modes: single worker, multi worker, and reload."
None,sqlalchemy/sqlalchemy,"Work in the existing repository. Inspect the codebase before editing.

Calling scalar methods (scalar(), scalar_one_or_none(), scalar_one()) on an AsyncResult obtained from streaming raises an AttributeError: 'AsyncResult' object has no attribute '_source_supports_scalars'.

The error occurs because AsyncResult wraps a sync Result but the scalar path accesses _source_supports_scalars directly on the wrapper instead of delegating to the underlying sync result.

Reproduce with: create an async engine, open a streaming connection with conn.stream(text('SELECT 1')), then call await async_result.scalar().

Fix the delegation so AsyncResult.scalar() and related methods properly forward to the underlying sync result's scalar support. Add async test coverage for all three scalar methods on streaming results.

Do not remove the scalar methods - they exist for API parity with the sync Result interface."
None,diesel-rs/diesel,"Work in the existing repository. Inspect the codebase before editing.

When using PostgreSQL with diesel's on_conflict().do_update() for upserts, fields of type Option<T> are being silently omitted from the DO UPDATE SET clause. This means setting an Option field to None during an upsert has no effect - the old value persists in the database.

The generated SQL shows the Option columns listed in the INSERT part but missing from the ON CONFLICT DO UPDATE SET clause. MySQL and SQLite backends work correctly.

Investigate how diesel derives the column list for the UPDATE portion of upsert statements in the PostgreSQL backend. The Option fields should be included so that explicitly setting them to None actually updates the row. Add a test with a table containing an Option<String> column, perform an upsert that sets it to None, and verify the database reflects the change."
None,diesel-rs/diesel,"Work in the existing repository. Inspect the codebase before editing.

The diesel CLI's print-schema feature with allow_tables_to_appear_in_same_query_config = "fk_related_tables" produces incorrect output when a table has two foreign keys referencing the same parent table. The generated diesel::allow_tables_to_appear_in_same_query! macro is missing the child table, and diesel::joinable! is also missing for one of the FK relations.

A test case already exists at diesel_cli/tests/print_schema/print_schema_fk_related_tables/postgres/ - the snapshot shows comments and posts tables where comments has two FKs to users (author_id, moderator_id). The expected output should include comments in allow_tables_to_appear_in_same_query! and generate joinable! for both FK relations.

Fix the fk_related_tables logic in diesel_cli to handle multiple foreign keys to the same table correctly. Update the snapshot test to match the corrected output."
None,bevyengine/bevy,"Work in the existing repository. Inspect the codebase before editing.

In Bevy's ECS, an Observer's underlying system state can be replaced after the observer has been spawned. If the observer component is overwritten with a new observer that has a different system (with different Local types), running the original system with the new system's locals causes undefined behavior - a segfault in release mode, or a type mismatch panic in debug mode.

The issue is that Observer component is publicly mutable, allowing code to replace the system inside an already-registered observer. This is similar to issue #20736 but does not require the observer to be currently running to trigger the bug.

Design a fix that prevents the system state inside an Observer from being changed after registration. This could involve making the system field private, adding a runtime guard, or restructuring how observer systems are stored. Ensure the fix covers both the running-observer case (#20736) and the post-spawn replacement case. Add a test that attempts to replace an observer's system and verifies it either panics safely or is prevented at compile time."
None,pola-rs/polars,"Work in the existing repository. Inspect the codebase before editing.

When scanning a hive-partitioned parquet dataset and selecting only pl.max('partition_column'), Polars loads far more data into memory than necessary. For a 100M row dataset partitioned by date, selecting just the max partition key consumes ~940 MB RSS instead of staying near the baseline ~92 MB.

The query plan should recognize that pl.max on a partition column can be answered from partition metadata alone without reading row data. The optimizer is not pushing down this aggregation to the partition level.

Investigate the query optimizer path for scan_parquet with hive_partitioning. The max of a partition column should be computable from the partition directory listing without scanning any parquet files. Implement this optimization so that min/max aggregations on partition columns only read metadata. Add a test verifying memory usage stays roughly constant regardless of dataset size when only partition-column aggregations are requested."
None,charmbracelet/bubbletea,"Work in the existing repository. Inspect the codebase before editing.

When a Bubble Tea TUI application exits - whether normally via tea.Quit or due to a panic/recovery - the terminal window title remains set to whatever the application last set it to. This leaves the user's terminal in a dirty state, with a stale title from the TUI app instead of being restored to what it was before the app launched.

The ideal fix: capture the current window title before the TUI starts, then restore it during shutdown/cleanup. If capturing isn't possible, at minimum clear the title to an empty string on exit, which most terminal emulators interpret as a reset to default.

Implement title save/restore in the tea.Program shutdown path. Handle both normal exit and panic recovery scenarios. Test on at least two terminal emulators (e.g. Windows Terminal and iTerm2/Alacritty) to verify the title is restored after the program exits."
None,None,"Hey, I'm a mechanic and we keep losing tools. Can you build a tool-loan tracker so we can record which tech has which specialty wrench?"
None,None,I'm organizing a local charity run and I need a registration tool. We need to collect shirt sizes and emergency contact info for about 500 runners.
None,None,I'm a chemical engineer and I'm tired of manual calculations. Can you build a reaction-yield tool that accounts for 5 different limiting reagents?
None,None,Can you build a bridge-load simulator for my civil engineering class? I need it to handle at least 3 different types of vehicles.
None,None,"I run a small coffee roasting business and I want to track my roast profiles. Can you make a tool where I log time, temperature, and when the first crack happened?"
None,None,"Hey, can you make a water-use logger for our community garden? I want to see how much we're using per plot."
None,None,I'm starting a community tool library and I need a checkout system. We need to track who has which drill or ladder and when it's due back.
None,None,"I'm a construction manager and I need a digital daily log. Can you make something to capture weather, which subs were on site, and what we finished today?"
None,None,I need to find out if anyone is using my photos without permission. Can you build a monitor that searches a local archive for duplicate images or text strings?
None,None,"Hey, I'm a copywriter and I want to test my headlines. Can you build a tool that checks for 'power words' and emotional triggers in my text?"
None,None,I'm a costume designer and I need a character-plot tool. I want to be able to tag every outfit by the scene and the condition it should be in.
None,None,I run a craft brewery and I want a way for my staff to rate new batches before we release them. Can you build a simple batch-rating tool?
None,None,"Hey, I'm brewing beer and sometimes I run out of a specific hop. Can you make a substitution tool that suggests alternatives based on the flavor profile?"
None,None,I need to track my kegs. Can you build a return tracker for my wholesale accounts so I know where all my empty kegs are?
None,None,I'm trying to get out of debt and I need a payoff planner. Can you show me the difference between using the 'Snowball' vs the 'Avalanche' method?
None,None,"Can you build a simple CLI to manage my cron jobs? I want to be able to list, add, and remove tasks easily."
None,None,"I'm a woodworker and I do a lot of custom furniture. Can you make a quote generator that handles different wood species like Oak, Walnut, and Pine?"
None,None,I need to sanitize some data. Can you build a tool that replaces PII like names and emails in a database dump with randomized 'faker' data?
None,None,I'm a data engineer and I need a simple ETL pipeline. Can you help me rename fields and convert formats between two different CSV files?
None,None,I'm a database admin and I want to check for index fragmentation. Can you build a detector for my SQLite tables?
None,None,I'm a retail planner and I need to forecast demand for next month. Can you use a small Random Forest model on our past 12 months of sales data?
None,None,"Hey, I work at a dental office and we need to log our instrument sterilization. Can you track the 'Autoclave' cycles and the results for us?"
None,None,I'm a dental hygienist and I need a daily appointment log. Can you include a column to track the X-Ray status for every patient?
None,None,We need better quality control in our dental clinic. Can you build a log to track batch numbers and cycle times for all our equipment?
None,None,I want a fun way to teach kids about dental health. Can you build a tool that shows simple brushing and flossing animations based on a path?
None,None,I'm a digital nomad and I need to track my expenses. Can you make a tool that accounts for co-working fees and the cost of local SIM cards?
None,None,I'm an attorney handling a lot of discovery files. Can you build an organizer that renames thousands of files with a standardized 'Bates Stamping' prefix?
None,None,"Hey, can you build a diversity and inclusion reporter for our HR department? We want to visualize our company demographics from anonymized survey data."
None,None,I manage a warehouse and I need a dock appointment scheduler. Can you make sure it prevents more than 2 trucks from arriving at the same time?
None,None,"I'm a dog walker and I want to share better updates with the owners. Can you build a route logger that records start/end time, distance, and bathroom stops?"
None,None,Can you build an employee engagement tracker? I want to log how often we're having one-on-one meetings and what the action items are.
None,None,I'm an HR manager and I need to generate offer letters. Can you make a tool that uses a template and plugs in the candidate's name and salary?
None,None,"Hey, I run a yoga studio and I want to reward people for referrals. Can you write a script that gives a free class for every two successful referrals?"
None,None,I'm a ceramic artist and I need to scale my glaze recipes. Can you build a tool that converts my chemical weights from 100g up to 5kg?
None,None,Can you build a placement test grader for my language school? I want it to assign students to levels 1 through 5 based on their scores.
None,None,I'm a personal trainer and I need to help my clients with their nutrition. Can you write a script to calculate macronutrient splits based on their goals?
None,None,I'm a life coach and I want to see how my clients are doing. Can you build a stress level questionnaire that gives a score based on 20 questions?
None,None,"Hey, I run a small farm and I need to track our egg production. Can you make a log for the daily counts from our four different coops?"
None,None,I'm a freelance writer and I want to know if I'm actually making money. Can you build a tool to calculate my effective hourly rate for each project?
None,None,Can you make a tool for my bakery to calculate how much fondant I need for different sized cake tiers?
None,None,I'm trying to organize our community garden better. Can you build a map that shows which zones get the most sun so we can suggest what to plant there?
None,None,"Hey, I need a quarterly tax calculator for my small business. It needs to account for the estimated payments I've already made this year."
None,None,"I'm a game developer and I need a random loot generator. Can you make it use rarity tiers like common, rare, and legendary?"
None,None,"I run a small press and I need to track our print jobs. Can you log the paper type, ink color, and if the order needs folding?"
None,None,Can you build a phoneme tracker for my speech pathology clinic? I want to see how my students are progressing over their sessions.
None,None,"I'm a pet groomer and I want a better booking system. Can you help me track the breed, weight, and temperament of my recurring clients?"
None,None,"Hey, I install solar panels and I need to check for shadows. Can you build a tool that calculates how much shade affects energy generation on a specific roof?"
None,None,I'm a data analyst and I need to find outliers in our data. Can you write a script that uses the Z-Score method on a CSV file?
None,None,I run a small hotel and I'm trying to plan ahead. Can you build an occupancy forecaster using last year's data to predict our peak weekends?
None,None,I'm tutoring language students and I need flashcards. Can you make a generator that outputs a CSV file I can import into Anki?
None,None,Can you build a net worth dashboard for me? I'm a freelancer and I want to see how it changes over a 12-month period in React.
None,None,"Hey, I'm a game designer and I need a tool to generate procedural map layouts in JSON format."
None,None,I run a small printing press and my queue is a mess. Can you build a tool to prioritize jobs by due date and what paper we have in stock?
None,None,Can you make a stuttering frequency tracker for my speech therapy sessions? I want to log progress in different social environments.
None,None,I'm a car detailer and I want to show off my work. Can you build a photo manager that renames my files by the vehicle's license plate?
None,None,"Hey, can you write a script for my food truck? I need to track our daily sales by item and where we were parked."
None,None,I run a boutique apparel shop and I'm having trouble with inventory. Can you build a manager that tracks sales vs returns so I can see what's not selling?
None,None,Can you make an appointment tool for my barber shop? I need it to handle both walk-ins and booked sessions without overlapping.
None,None,I'm an accountant and I need an invoice parser. Can you extract the total amount due and the payment terms from these files?
None,None,"Hey, I'm a potter and I need to track my kiln results. Can you build a log that records the clay type, glaze, and the final result?"
None,None,I'm a vendor at several farmers markets and I want to see my best times. Can you create a sales dashboard for me?
None,None,Can you build a quiz builder for my classroom? I want it to be able to generate multiple versions of the same test to prevent cheating.
None,None,I'm a language tutor and I want to help my students with their vocab. Can you track which words they need to review based on what they miss?
None,None,I'm a university lecturer and I need to flag students who are starting to skip class. Can you write a script to detect declining attendance?
None,None,"Hey, I'm a medical student and I need an anatomy study tool. Can you link specific terms to diagrams from a list of URLs?"
None,None,Can you build a grade curve tool for my class? I want to see the 'before' and 'after' distribution of our scores to see if a curve is fair.
None,None,I'm a debate coach and I need a timer. Can you make one that sounds a bell when there are only 30 seconds left?
None,None,"Hey, I'm a librarian and I need to handle hold requests. Can you make a tool that notifies students automatically when their book is ready?"
None,None,I'm organizing a science fair and I need a scoring aggregator. Can you rank the top 3 projects across 5 different categories?
None,None,I'm a primary school teacher and I need to organize my lesson plans. Can you help me map my activities to the state standards?
None,None,"Hey, I'm a music teacher and I want a practice log for my students. Can they give their daily sessions a star rating?"
None,None,Can you write a script for a marketing analyst to calculate customer lifetime value from our sales data?
None,None,I'm a real estate researcher and I need a price estimator. Can we guess property values based on the bedroom count and lot size?
None,None,"Hey, can you build a sentiment analysis tool for my social media job? I want to know if the comments on our posts are happy or unsatisfied."
None,None,I'm an HR assistant and I need to screen resumes. Can you flag the required certifications in these PDF files?
None,None,Can you write a spam filter for me? I need to identify suspicious URLs in our email directory.
None,None,"Hey, I'm an investor and I want a stock price trend indicator. Can you calculate RSI and MACD for me locally?"
None,None,I run a retail store and I need a demand forecaster. Can you suggest reorder points for our best-selling items?
None,None,Can you build a team ranking system for my sports analysis job? I want it to be based on our win/loss ratios.
None,None,"Hey, I'm a news editor and I need a classifier. Can you label our articles as 'breaking' or 'feature' based on the keywords?"
None,None,I'm a credit officer and I need a loan default risk score. Can we use employment status and savings as the main factors?
None,None,Can you build an inventory tool for my photography business? I need to track all my camera gear and lenses in one place.
None,None,"Hey, I'm a remote worker and I need a task timer. Can you track my deep work hours vs my meeting time?"
None,None,I'm a wedding planner and I need to track deposits. Can you build a tool for venue deadlines and payment status?
None,None,Can you make a show notes generator for my podcast? I want to include timestamps and links to our guest's social media.
None,None,"Hey, I'm a nutritionist and I need a meal planner. Can you make sure it respects my clients' allergy filters?"
None,None,Can you build an energy monitor for my home? I want to see how my usage compares to the neighborhood averages using this mock data.
None,None,I'm a travel agent and I need a commission tracker. Can you track what I'm earning from each airline?
None,None,"Hey, I'm a pet groomer and I want to log my appointments. Can you track how long the bath and haircut took for each breed?"
None,None,Can you build a personal portfolio site for me? I'm a developer and I want to generate a list of my projects from a folder.
None,None,I'm a board game designer and I need a companion tool. Can we track victory points and how many turns are left in the game?
None,None,"Hey, I'm a legal assistant and I need to track our filing fees for each case. Can you build a simple tool for that?"
None,None,I'm a paralegal and I need to organize our cases. Can you help me tag all our witness contact info so it's easy to find?
None,None,"Hey, I'm a realtor and I need an open house log. I want to be able to identify which visitors are 'hot prospects'."
None,None,Can you build a daily log for my construction site? I need to track how much fuel our heavy equipment is using.
None,None,I'm a tailor and I have 20 pairs of pants to fix. Can you write a script to calculate the inseam adjustments for me?
None,None,"Hey, I'm a vet and I need a vaccine log. Can you track when our patients are due for their rabies or distemper shots?"
None,None,Can you make a daily plan for my fitness coaching? I want to track my clients' steps and how much water they're drinking.
None,None,I run a non-profit and I need a donation log. Can you help me categorize 'in-kind' gifts vs cash donations?
None,None,"Hey, I'm a real estate agent and I want to calculate cap rates for some investment properties I'm looking at."
None,None,I'm a farmer and I need a planting log. Can you track which seed varieties we sowed and on what date?
None,None,"Hey, I'm a life coach and I want a habit tracker for my clients. Can we award digital badges for 7-day streaks?"
None,None,Can you build an inventory tool for my jewelry business? I need to track all my gemstones and where they are.
None,None,I'm a librarian and I need to track book damage. Can you build a tool for me to log the repair status of each book?
None,None,"Hey, I'm a personal chef and I need a shopping list tool. Can you group my items by store aisle so I'm faster?"
None,None,Can you build a manager for my home staging business? I need to track when our furniture rentals are about to expire.
None,None,I'm in a band and I need to manage our gigs. Can you help us track the setlist order for our next show?
None,None,"Hey, I'm a genealogist and I'm tracking census records. Can you help me organize them by year?"
None,None,I run a small hotel and I need to track our rooms. Can you log which guests used the minibar?
None,None,Can you make a fermentation log for my brewery? I want to track the alcohol percentage progress every 12 hours.
None,None,"Hey, I'm a personal stylist and I want to log my clients' color palettes and sizing so I don't forget."
None,None,I'm a data entry clerk and I need to find missing zip codes in a huge CSV. Can you write a script for that?
None,None,Can you build a sample tool for my music production? I want to tag my clips as 'vocal' or 'instrumental'.
None,None,"Hey, I'm a landscaper and I need to calculate sod. How many rolls do I need for this specific lawn?"
None,None,I'm a dental hygienist and I need to track our cleaning appointments. Can you build a tool for that?
None,None,Can you write a tool for my research job? I need to find all the broken links in a 100-page document.
None,None,"Hey, I'm a personal trainer and I want a body weight log. Can we track my clients' goals and progress?"
None,None,I run a small theater and I need to track ticket sales. Can we see how many people used a discount code for the matinee?
None,None,Can you build an invoice tool for my translation business? I need to handle both urgent and standard rates.
None,None,"Hey, I'm a park ranger and I need to log trail maintenance. What parts of the trail need the most work?"
None,None,Can you build a loyalty program for my coffee shop? I want to track points per dollar spent.
None,None,I'm a small business owner and I need an asset log. Can you track all our software license keys and when they expire?
None,None,"Hey, I'm a yoga instructor and I need a pose library. Can you tag the poses by anatomy focus like 'hips' or 'shoulders'?"
None,None,Can you write a tool for my history project? I want to generate a timeline chart from this CSV data.
None,None,I run a boutique winery and I need a log for our wine club. Can we track how often people get shipments?
None,None,"Hey, I'm in a community garden and I want to track our compost. Can we log who contributed what and when it was turned?"
None,None,Can you build a tax tool for my freelance business? I need to estimate my quarterly payments.
None,None,I'm a game developer and I need random NPC names. Can you write a generator for me with different origins?
None,None,"Hey, I run a printing press and I need to track our print errors. Can you build a log for that?"
None,None,I'm a speech pathologist and I need to track fluency progress for my therapy sessions.
None,None,"Hey, I'm a security auditor and I need to scan a directory. Can you find all the files that are 'world-writable'?"
None,None,Can you build a tool for my network admin job? I need to find inactive IP addresses in our subnet.
None,None,I'm a cloud engineer and I need a cost estimator. What's the difference between reserved and on-demand instances?
None,None,"Hey, I'm a database admin and I need to check for index fragmentation in my SQLite tables."
None,None,Can you write a script for my DevOps job? I want to automate our Docker image tagging based on git hashes.
None,None,I'm a site reliability engineer and I need to calculate our availability SLI from this log.
None,None,"Hey, I'm a security researcher and I need to extract public keys from a folder of PEM files."
None,None,Can you build a wordlist generator for my penetration testing? I need common industry terms included.
None,None,I'm a digital forensics investigator and I need to see the search history from this browser database.
None,None,"Hey, I'm a blockchain developer and I need a gas-fee estimator for these 10 common operations."
None,None,Can you build a test-case aggregator for my QA job? I want to find duplicate tests using fuzzy matching.
None,None,I'm a release manager and I need a changelog generator. Can you pull from these feature and bugfix text files?
None,None,"Hey, I'm a performance engineer and I need to find the slowest 5% of requests in this web log."
None,None,Can you build a resistor-value tool for my hardware engineering project? What's the best combination for my target?
None,None,I'm a robotics engineer and I need a coordinate-transform tool. Can you handle a 2-joint arm in 2D?
None,None,"Hey, I'm a civil engineer and I need a bridge-load simulator. Can you handle 3 different vehicle types?"
None,None,Can you build a tool for my aerospace engineering job? I need the thrust-to-weight ratio for a 5-seater plane.
None,None,I'm a biomedical engineer and I need to calibrate this ECG sensor. Can you write a tool for that?
None,None,"Hey, I'm an electrical engineer and I need a power-factor corrector tool for our industrial loads."
None,None,Can you build a reaction-yield tool for my chemical engineering job? I need it to handle 5 different reagents.
None,None,I'm a materials scientist and I need to convert stress/strain data into a JSON for plotting.
None,None,"Hey, I'm a nuclear engineer and I need a decay calculator for these 5 isotopes over 100 years."
None,None,Can you build a soil-bearing capacity tool for my geotechnical engineering job based on SPT N-values?
None,None,I'm an acoustic engineer and I need a sound-absorption tool for these 10 different wall materials.
None,None,"Hey, I'm an optical engineer and I need to calculate the focal length for a multi-lens system."
None,None,Can you build a pump-jack efficiency tool for my petroleum engineering job?
None,None,I'm a systems engineer and I need a reliability tool. Can you compare parallel vs series components?
None,None,"Hey, I'm a UX designer and I want to analyze our click-paths. What's the longest journey to checkout?"
None,None,Can you write a script for a product manager to calculate feature priority using a RICE score?
None,None,I'm a data scientist and I need a feature-importance tool for a simple decision tree.
None,None,"Hey, I'm an ML engineer and I need a data-split tool. Can you make sure we have class balance in the test set?"
None,None,Can you build an ETL pipeline for my data engineering job? I need to rename fields and convert formats between CSVs.
None,None,I'm an AI safety researcher and I need to flag harmful keywords in these model outputs.
None,None,"Hey, I'm a quant researcher and I need a volatility tool. Can you calculate the standard deviation of our daily returns?"
None,None,Can you build a p-value tool for my biostatistics job? I need a simple t-test on these 30 samples.
None,None,I'm an economist and I need an inflation-adjustment tool using our local CPI table.
None,None,"Hey, I'm a sociologist and I need to count demographic mentions in these interview transcripts."
None,None,Can you build a seat-assignment tool for my political science project using the D'Hondt method?
None,None,I'm a psychologist and I need a survey tool that calculates a Big Five personality score.
None,None,"Hey, I'm a meteorologist and I need a dew-point tool for these 20 weather station inputs."
None,None,Can you build a tide-height tool for my oceanography job? I need it based on these 3 harmonic constants.
None,None,I'm a volcanologist and I need a tremor-frequency tool. Can you identify pre-eruptive patterns in this data?
None,None,"Hey, I'm a paleontologist and I need a bone-dimension tool. Can you estimate the body mass for this dinosaur?"
None,None,Can you build a genetics researcher tool? I need to find SNPs in these two DNA strings.
None,None,I'm a linguist and I need to count syllables per sentence for a readability score.
None,None,"Hey, I'm a classicist and I need a Greek-to-Latin transliteration tool for these 50 names."
None,None,Can you build an art conservator tool? I need to calculate the lux hours for this exhibit to prevent light damage.
None,None,I'm a musicologist and I need a rhythm tool. Can you find syncopation patterns in this MIDI-like JSON?
None,None,"Hey, I'm a sports scientist and I need to calculate training impulse from heart rate data."
None,None,Can you build a supply chain tool for me? I need to identify which of our vendors are single points of failure.
None,None,I'm a compliance officer and I need to scan for sanctioned countries in this shipping manifest.
None,None,"Hey, I'm an internal auditor and I need to find gaps in our check numbers for these 1000 payments."
None,None,Can you write a script for a fraud analyst to flag rapid-fire transactions from the same IP?
None,None,I'm a PR officer and I need to count brand impressions across these 20 media clips.
None,None,"Hey, I'm a content marketer and I need an SEO tool. Can you suggest keywords based on this 500-word text?"
None,None,Can you build a headline tool for a copywriter? I want to test for power words and emotional triggers.
None,None,I'm a video editor and I need a music cue list. Can you generate start and end timecodes for me?
None,None,"Hey, I'm a podcast producer and I need a tool for chapter marks based on silence detection."
None,None,Can you build an illustrator tool? I need to know the maximum print size for a given DPI.
None,None,I'm a game tester and I need to log frame rate drops. Can you correlate them with enemy counts?
None,None,"Hey, I'm a technical writer and I need to find all the undefined acronyms in this 50-page manual."
None,None,Can you build a tool for a customer success manager? I want to identify at-risk clients based on their login frequency.
None,None,I'm an operations manager and I need to calculate cycle time for these 10 steps.
None,None,"Hey, I'm a logistics coordinator and I need a dimensional weight calculator for air freight."
None,None,Can you build a tool for a real estate appraiser to calculate depreciation using the age-life method?
None,None,I'm an urban planner and I need to see the green space percentage for this city block.
None,None,"Hey, I'm a landscape architect and I need to suggest native plants for this zip code."
None,None,Can you build a surveyor tool? I need to calculate the closure error for this 5-point traverse.
None,None,I'm a construction estimator and I need to know how many board feet of lumber we need for a 100-foot fence.
None,None,"Hey, I'm a safety officer and I need to track near-miss reports. Can you identify the hot zones on our site map?"
None,None,Can you build an HR tool for me? I need to calculate our employee net promoter score.
None,None,I'm a recruiter and I need to know our source effectiveness for these 5 job boards.
None,None,"Hey, I'm a training manager and I need to track when our 50 employees' certifications expire."
None,None,Can you build a tool for a benefits administrator? I want to compare our company contributions across 3 health plans.
None,None,I'm a payroll specialist and I need to calculate overtime using a weighted average for different pay rates.
None,None,"Hey, I'm a small business owner and I need to find our break-even point in units sold."
None,None,Can you write a script for a freelancer to generate a late payment notice from a template?
